Technique (ID), Technique (Name), Sub-technique (Name), Num. CAR, Num. Sigma, Num. ES SIEM, Total
T1001,Data Obfuscation,n/a,0,0,0,0
T1001.001,Data Obfuscation,Junk Data,0,0,0,0
T1001.002,Data Obfuscation,Steganography,0,0,0,0
T1001.003,Data Obfuscation,Protocol Impersonation,0,3,0,3
T1003,OS Credential Dumping,n/a,0,56,13,69
T1003.001,OS Credential Dumping,LSASS Memory,4,32,1,37
T1003.002,OS Credential Dumping,Security Account Manager,1,17,0,18
T1003.003,OS Credential Dumping,NTDS,2,11,0,13
T1003.004,OS Credential Dumping,LSA Secrets,0,10,0,10
T1003.005,OS Credential Dumping,Cached Domain Credentials,0,6,0,6
T1003.006,OS Credential Dumping,DCSync,0,5,0,5
T1003.007,OS Credential Dumping,Proc Filesystem,0,1,0,1
T1003.008,OS Credential Dumping,/etc/passwd and /etc/shadow,0,0,0,0
T1005,Data from Local System,n/a,0,3,0,3
T1006,Direct Volume Access,n/a,0,1,1,2
T1007,System Service Discovery,n/a,2,1,0,3
T1008,Fallback Channels,n/a,0,0,0,0
T1010,Application Window Discovery,n/a,1,0,0,1
T1011,Exfiltration Over Other Network Medium,n/a,0,0,0,0
T1011.001,Exfiltration Over Other Network Medium,Exfiltration Over Bluetooth,0,0,0,0
T1012,Query Registry,n/a,3,6,1,10
T1014,Rootkit,n/a,0,0,0,0
T1016,System Network Configuration Discovery,n/a,2,3,2,7
T1018,Remote System Discovery,n/a,1,5,2,8
T1020,Automated Exfiltration,n/a,0,4,0,4
T1020.001,Automated Exfiltration,Traffic Duplication,0,0,0,0
T1021,Remote Services,n/a,1,4,26,31
T1021.001,Remote Services,Remote Desktop Protocol,3,8,0,11
T1021.002,Remote Services,SMB/Windows Admin Shares,5,15,4,24
T1021.003,Remote Services,Distributed Component Object Model,1,3,0,4
T1021.004,Remote Services,SSH,0,0,0,0
T1021.005,Remote Services,VNC,0,0,0,0
T1021.006,Remote Services,Windows Remote Management,3,3,0,6
T1025,Data from Removable Media,n/a,0,0,0,0
T1026,Multiband Communication,n/a,0,0,0,0
T1027,Obfuscated Files or Information,n/a,0,15,4,19
T1027.001,Obfuscated Files or Information,Binary Padding,0,1,0,1
T1027.002,Obfuscated Files or Information,Software Packing,0,0,0,0
T1027.003,Obfuscated Files or Information,Steganography,0,1,0,1
T1027.004,Obfuscated Files or Information,Compile After Delivery,0,3,1,4
T1027.005,Obfuscated Files or Information,Indicator Removal from Tools,0,2,0,2
T1029,Scheduled Transfer,n/a,1,0,0,1
T1030,Data Transfer Size Limits,n/a,0,0,0,0
T1033,System Owner/User Discovery,n/a,2,8,3,13
T1034,Path Interception,n/a,0,0,0,0
T1036,Masquerading,n/a,1,32,10,43
T1036.001,Masquerading,Invalid Code Signature,0,0,0,0
T1036.002,Masquerading,Right-to-Left Override,0,0,0,0
T1036.003,Masquerading,Rename System Utilities,1,12,0,13
T1036.004,Masquerading,Masquerade Task or Service,0,1,1,2
T1036.005,Masquerading,Match Legitimate Name or Location,0,8,0,8
T1036.006,Masquerading,Space after Filename,0,0,0,0
T1037,Boot or Logon Initialization Scripts,n/a,0,2,2,4
T1037.001,Boot or Logon Initialization Scripts,Logon Script (Windows),2,2,0,4
T1037.002,Boot or Logon Initialization Scripts,Logon Script (Mac),0,0,0,0
T1037.003,Boot or Logon Initialization Scripts,Network Logon Script,0,0,0,0
T1037.004,Boot or Logon Initialization Scripts,Rc.common,0,0,0,0
T1037.005,Boot or Logon Initialization Scripts,Startup Items,0,0,0,0
T1039,Data from Network Shared Drive,n/a,1,1,0,2
T1040,Network Sniffing,n/a,1,6,2,9
T1041,Exfiltration Over C2 Channel,n/a,0,2,0,2
T1043,Commonly Used Port,n/a,0,13,0,13
T1046,Network Service Scanning,n/a,2,2,0,4
T1047,Windows Management Instrumentation,n/a,3,18,4,25
T1048,Exfiltration Over Alternative Protocol,n/a,0,12,6,18
T1048.001,Exfiltration Over Alternative Protocol,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,0,1,0,1
T1048.002,Exfiltration Over Alternative Protocol,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,0,0,0,0
T1048.003,Exfiltration Over Alternative Protocol,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,0,6,0,6
T1049,System Network Connections Discovery,n/a,1,2,1,4
T1051,Shared Webroot,n/a,0,0,0,0
T1052,Exfiltration Over Physical Medium,n/a,0,0,0,0
T1052.001,Exfiltration Over Physical Medium,Exfiltration over USB,0,0,0,0
T1053,Scheduled Task/Job,n/a,0,16,11,27
T1053.001,Scheduled Task/Job,At (Linux),0,0,0,0
T1053.002,Scheduled Task/Job,At (Windows),3,4,0,7
T1053.003,Scheduled Task/Job,Cron,0,0,3,3
T1053.004,Scheduled Task/Job,Launchd,0,0,0,0
T1053.005,Scheduled Task/Job,Scheduled Task,5,11,0,16
T1053.006,Scheduled Task/Job,Systemd Timers,0,0,0,0
T1055,Process Injection,n/a,0,13,10,23
T1055.001,Process Injection,Dynamic-link Library Injection,2,7,0,9
T1055.002,Process Injection,Portable Executable Injection,0,1,0,1
T1055.003,Process Injection,Thread Execution Hijacking,0,0,0,0
T1055.004,Process Injection,Asynchronous Procedure Call,0,0,0,0
T1055.005,Process Injection,Thread Local Storage,0,0,0,0
T1055.008,Process Injection,Ptrace System Calls,0,0,0,0
T1055.009,Process Injection,Proc Memory,0,0,0,0
T1055.011,Process Injection,Extra Window Memory Injection,0,0,0,0
T1055.012,Process Injection,Process Hollowing,0,1,2,3
T1055.013,Process Injection,Process Doppelgänging,0,0,0,0
T1055.014,Process Injection,VDSO Hijacking,0,0,0,0
T1056,Input Capture,n/a,0,0,1,1
T1056.001,Input Capture,Keylogging,0,0,0,0
T1056.002,Input Capture,GUI Input Capture,0,1,1,2
T1056.003,Input Capture,Web Portal Capture,0,0,0,0
T1056.004,Input Capture,Credential API Hooking,0,0,0,0
T1057,Process Discovery,n/a,2,2,2,6
T1059,Command and Scripting Interpreter,n/a,1,19,25,45
T1059.001,Command and Scripting Interpreter,PowerShell,3,71,4,78
T1059.002,Command and Scripting Interpreter,AppleScript,0,0,1,1
T1059.003,Command and Scripting Interpreter,Windows Command Shell,2,15,0,17
T1059.004,Command and Scripting Interpreter,Unix Shell,0,7,0,7
T1059.005,Command and Scripting Interpreter,Visual Basic,1,16,0,17
T1059.006,Command and Scripting Interpreter,Python,0,2,1,3
T1059.007,Command and Scripting Interpreter,JavaScript/JScript,0,9,2,11
T1059.008,Command and Scripting Interpreter,Network Device CLI,0,0,0,0
T1061,Graphical User Interface,n/a,0,0,0,0
T1062,Hypervisor,n/a,0,0,0,0
T1064,Scripting,n/a,0,14,0,14
T1068,Exploitation for Privilege Escalation,n/a,1,7,6,14
T1069,Permission Groups Discovery,n/a,0,2,3,5
T1069.001,Permission Groups Discovery,Local Groups,3,2,0,5
T1069.002,Permission Groups Discovery,Domain Groups,3,3,1,7
T1069.003,Permission Groups Discovery,Cloud Groups,0,0,0,0
T1070,Indicator Removal on Host,n/a,0,9,15,24
T1070.001,Indicator Removal on Host,Clear Windows Event Logs,2,5,0,7
T1070.002,Indicator Removal on Host,Clear Linux or Mac System Logs,0,0,0,0
T1070.003,Indicator Removal on Host,Clear Command History,1,3,1,5
T1070.004,Indicator Removal on Host,File Deletion,0,3,6,9
T1070.005,Indicator Removal on Host,Network Share Connection Removal,1,0,0,1
T1070.006,Indicator Removal on Host,Timestomp,0,1,1,2
T1071,Application Layer Protocol,n/a,0,14,8,22
T1071.001,Application Layer Protocol,Web Protocols,0,22,3,25
T1071.002,Application Layer Protocol,File Transfer Protocols,0,0,0,0
T1071.003,Application Layer Protocol,Mail Protocols,0,0,0,0
T1071.004,Application Layer Protocol,DNS,0,12,0,12
T1072,Software Deployment Tools,n/a,0,0,0,0
T1074,Data Staged,n/a,0,1,0,1
T1074.001,Data Staged,Local Data Staging,0,0,0,0
T1074.002,Data Staged,Remote Data Staging,0,0,0,0
T1078,Valid Accounts,n/a,0,7,35,42
T1078.001,Valid Accounts,Default Accounts,0,1,0,1
T1078.002,Valid Accounts,Domain Accounts,5,1,0,6
T1078.003,Valid Accounts,Local Accounts,5,1,3,9
T1078.004,Valid Accounts,Cloud Accounts,0,1,1,2
T1080,Taint Shared Content,n/a,0,0,0,0
T1082,System Information Discovery,n/a,2,4,3,9
T1083,File and Directory Discovery,n/a,0,4,1,5
T1087,Account Discovery,n/a,0,12,4,16
T1087.001,Account Discovery,Local Account,2,5,0,7
T1087.002,Account Discovery,Domain Account,2,8,1,11
T1087.003,Account Discovery,Email Account,0,0,0,0
T1087.004,Account Discovery,Cloud Account,0,0,0,0
T1090,Proxy,n/a,0,3,1,4
T1090.001,Proxy,Internal Proxy,0,1,0,1
T1090.002,Proxy,External Proxy,0,1,0,1
T1090.003,Proxy,Multi-hop Proxy,0,0,1,1
T1090.004,Proxy,Domain Fronting,0,0,0,0
T1091,Replication Through Removable Media,n/a,0,1,0,1
T1092,Communication Through Removable Media,n/a,0,0,0,0
T1095,Non-Application Layer Protocol,n/a,0,0,0,0
T1098,Account Manipulation,n/a,1,8,20,29
T1098.001,Account Manipulation,Additional Cloud Credentials,0,0,0,0
T1098.002,Account Manipulation,Exchange Email Delegate Permissions,0,0,0,0
T1098.003,Account Manipulation,Add Office 365 Global Administrator Role,0,0,0,0
T1098.004,Account Manipulation,SSH Authorized Keys,0,0,1,1
T1102,Web Service,n/a,0,4,1,5
T1102.001,Web Service,Dead Drop Resolver,0,2,0,2
T1102.002,Web Service,Bidirectional Communication,0,2,0,2
T1102.003,Web Service,One-Way Communication,0,2,0,2
T1104,Multi-Stage Channels,n/a,0,1,0,1
T1105,Ingress Tool Transfer,n/a,1,21,9,31
T1106,Native API,n/a,0,2,1,3
T1108,Redundant Access,n/a,0,0,0,0
T1110,Brute Force,n/a,0,2,7,9
T1110.001,Brute Force,Password Guessing,0,0,0,0
T1110.002,Brute Force,Password Cracking,0,0,0,0
T1110.003,Brute Force,Password Spraying,0,0,0,0
T1110.004,Brute Force,Credential Stuffing,0,0,0,0
T1111,Two-Factor Authentication Interception,n/a,0,0,1,1
T1112,Modify Registry,n/a,5,19,1,25
T1113,Screen Capture,n/a,0,1,0,1
T1114,Email Collection,n/a,0,2,2,4
T1114.001,Email Collection,Local Email Collection,0,0,0,0
T1114.002,Email Collection,Remote Email Collection,0,0,0,0
T1114.003,Email Collection,Email Forwarding Rule,0,0,0,0
T1115,Clipboard Data,n/a,0,0,0,0
T1119,Automated Collection,n/a,0,1,0,1
T1120,Peripheral Device Discovery,n/a,0,0,1,1
T1123,Audio Capture,n/a,0,3,0,3
T1124,System Time Discovery,n/a,0,2,0,2
T1125,Video Capture,n/a,0,1,0,1
T1127,Trusted Developer Utilities Proxy Execution,n/a,0,4,8,12
T1127.001,Trusted Developer Utilities Proxy Execution,MSBuild,1,1,0,2
T1129,Shared Modules,n/a,0,0,1,1
T1132,Data Encoding,n/a,0,1,0,1
T1132.001,Data Encoding,Standard Encoding,0,1,0,1
T1132.002,Data Encoding,Non-Standard Encoding,0,0,0,0
T1133,External Remote Services,n/a,0,1,4,5
T1134,Access Token Manipulation,n/a,0,3,1,4
T1134.001,Access Token Manipulation,Token Impersonation/Theft,0,2,0,2
T1134.002,Access Token Manipulation,Create Process with Token,0,3,0,3
T1134.003,Access Token Manipulation,Make and Impersonate Token,0,0,0,0
T1134.004,Access Token Manipulation,Parent PID Spoofing,0,0,0,0
T1134.005,Access Token Manipulation,SID-History Injection,0,1,0,1
T1135,Network Share Discovery,n/a,0,3,1,4
