Technique (ID), Technique (Name), Sub-technique (Name), Num. CAR, Num. Sigma, Num. ES SIEM, Num. Splunk, Total
T1001,Data Obfuscation,n/a,0,0,0,0,0
T1001.001,Data Obfuscation,Junk Data,0,0,0,0,0
T1001.002,Data Obfuscation,Steganography,0,0,0,0,0
T1001.003,Data Obfuscation,Protocol Impersonation,0,3,0,1,4
T1003,OS Credential Dumping,n/a,0,23,34,36,93
T1003.001,OS Credential Dumping,LSASS Memory,5,75,10,14,104
T1003.002,OS Credential Dumping,Security Account Manager,1,28,5,9,43
T1003.003,OS Credential Dumping,NTDS,2,19,1,8,30
T1003.004,OS Credential Dumping,LSA Secrets,0,12,1,0,13
T1003.005,OS Credential Dumping,Cached Domain Credentials,0,8,0,1,9
T1003.006,OS Credential Dumping,DCSync,0,8,0,0,8
T1003.007,OS Credential Dumping,Proc Filesystem,0,0,0,0,0
T1003.008,OS Credential Dumping,/etc/passwd and /etc/shadow,0,0,1,1,2
T1005,Data from Local System,n/a,0,7,2,1,10
T1006,Direct Volume Access,n/a,0,1,1,0,2
T1007,System Service Discovery,n/a,2,3,0,0,5
T1008,Fallback Channels,n/a,0,2,0,0,2
T1010,Application Window Discovery,n/a,1,1,0,0,2
T1011,Exfiltration Over Other Network Medium,n/a,0,0,0,0,0
T1011.001,Exfiltration Over Other Network Medium,Exfiltration Over Bluetooth,0,0,0,0,0
T1012,Query Registry,n/a,3,10,1,2,16
T1014,Rootkit,n/a,0,1,0,3,4
T1016,System Network Configuration Discovery,n/a,2,8,3,4,17
T1016.001,System Network Configuration Discovery,Internet Connection Discovery,0,0,0,1,1
T1018,Remote System Discovery,n/a,1,15,4,18,38
T1020,Automated Exfiltration,n/a,0,5,1,6,12
T1020.001,Automated Exfiltration,Traffic Duplication,0,0,0,1,1
T1021,Remote Services,n/a,1,3,34,24,62
T1021.001,Remote Services,Remote Desktop Protocol,3,14,1,9,27
T1021.002,Remote Services,SMB/Windows Admin Shares,5,33,6,5,49
T1021.003,Remote Services,Distributed Component Object Model,1,9,0,5,15
T1021.004,Remote Services,SSH,0,1,1,2,4
T1021.005,Remote Services,VNC,0,1,0,0,1
T1021.006,Remote Services,Windows Remote Management,3,9,0,6,18
T1025,Data from Removable Media,n/a,0,0,0,0,0
T1026,Multiband Communication,n/a,0,0,0,0,0
T1027,Obfuscated Files or Information,n/a,0,83,7,8,98
T1027.001,Obfuscated Files or Information,Binary Padding,0,3,0,0,3
T1027.002,Obfuscated Files or Information,Software Packing,0,1,0,0,1
T1027.003,Obfuscated Files or Information,Steganography,0,5,0,0,5
T1027.004,Obfuscated Files or Information,Compile After Delivery,0,5,2,1,8
T1027.005,Obfuscated Files or Information,Indicator Removal from Tools,0,4,0,2,6
T1027.006,Obfuscated Files or Information,HTML Smuggling,0,0,1,0,1
T1029,Scheduled Transfer,n/a,1,0,0,0,1
T1030,Data Transfer Size Limits,n/a,0,2,0,0,2
T1033,System Owner/User Discovery,n/a,2,25,4,10,41
T1034,Path Interception,n/a,0,0,0,0,0
T1036,Masquerading,n/a,1,27,16,27,71
T1036.001,Masquerading,Invalid Code Signature,0,0,0,0,0
T1036.002,Masquerading,Right-to-Left Override,0,0,0,0,0
T1036.003,Masquerading,Rename System Utilities,1,21,2,22,46
T1036.004,Masquerading,Masquerade Task or Service,0,2,0,1,3
T1036.005,Masquerading,Match Legitimate Name or Location,1,9,1,1,12
T1036.006,Masquerading,Space after Filename,0,1,1,0,2
T1036.007,Masquerading,Double File Extension,0,2,1,0,3
T1037,Boot or Logon Initialization Scripts,n/a,0,0,5,2,7
T1037.001,Boot or Logon Initialization Scripts,Logon Script (Windows),2,2,0,1,5
T1037.002,Boot or Logon Initialization Scripts,Login Hook,0,0,0,0,0
T1037.003,Boot or Logon Initialization Scripts,Network Logon Script,0,0,0,0,0
T1037.004,Boot or Logon Initialization Scripts,RC Scripts,0,0,2,1,3
T1037.005,Boot or Logon Initialization Scripts,Startup Items,0,1,0,0,1
T1039,Data from Network Shared Drive,n/a,1,2,0,1,4
T1040,Network Sniffing,n/a,1,8,2,1,12
T1041,Exfiltration Over C2 Channel,n/a,0,3,0,1,4
T1043,Commonly Used Port,n/a,0,0,0,0,0
T1046,Network Service Discovery,n/a,2,11,1,0,14
T1047,Windows Management Instrumentation,n/a,3,40,5,14,62
T1048,Exfiltration Over Alternative Protocol,n/a,0,7,6,9,22
T1048.001,Exfiltration Over Alternative Protocol,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,0,1,0,0,1
T1048.002,Exfiltration Over Alternative Protocol,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,0,0,0,0,0
T1048.003,Exfiltration Over Alternative Protocol,Exfiltration Over Unencrypted Non-C2 Protocol,0,14,0,9,23
T1049,System Network Connections Discovery,n/a,1,8,1,6,16
